summoner_name,tag,rank,division,lp,season_wins,season_losses,main_role,games_analyzed,winrate_main_role,impact_dmg_to_buildings_%,impact_wardsKilled_%,impact_time_ccing_others_%,impact_dmg_taken_%,impact_dmg_to_champs_%,impact_total_time_cc_dealt_%,impact_effective_heal_and_shielding_%,impact_kill_participation_%,impact_dmg_self_mitigated_%,impact_self_heal_%,impact_enemy_immobilizations_%,impact_heals_on_teammates_%,impact_dmg_to_objectives_%,impact_controlWardsPlaced_%,impact_damage_shielded_on_mates_%,impact_wardsPlaced_%,impact_wardsGuarded_%
Junglers Catnip,0808,GOLD,I,N/A,23,12,TOP,28,75.0,0.57,-1.52,1.18,1.12,-1.36,6.81,-1.46,5.04,2.58,1.43,2.51,-0.42,-3.54,-5.46,-1.3,1.29,6.96
Yo cest moi2,EUW,GOLD,I,N/A,17,20,JUNGLE,21,57.14,5.37,-8.33,9.23,-2.39,2.9,14.97,9.42,-5.78,-1.34,-9.16,6.5,0.0,-3.89,10.87,11.76,1.88,6.29
Zege,EUW,GOLD,I,N/A,16,14,TOP,15,53.33,-1.92,-5.97,-6.8,2.31,3.15,22.86,-3.51,1.67,3.3,5.9,-16.85,-4.82,-3.06,-8.37,0.0,3.24,-12.67
Loserjan,EUW,GOLD,I,N/A,4,1,BOTTOM,29,58.62,4.87,2.99,-0.4,3.38,3.88,-0.16,-2.51,5.31,5.91,7.49,0.88,-1.65,2.43,-7.09,-1.07,-3.3,4.54
Clapsen2,God,GOLD,I,N/A,4,4,BOTTOM,30,60.0,4.18,1.19,-2.72,0.78,3.78,-2.28,-9.53,3.2,1.71,-0.27,-1.12,-19.34,5.17,-6.47,0.0,-1.53,2.75
4T4T,85245,GOLD,I,N/A,4,4,MIDDLE,17,47.06,-5.56,-0.4,4.27,-2.6,6.82,4.47,1.62,16.13,-4.92,-5.55,5.12,2.38,5.1,1.14,-1.15,0.7,-2.06
Gm la moustache,EUW,PLATINUM,IV,N/A,15,15,MIDDLE,17,52.94,2.89,16.33,-0.64,-2.12,0.87,-15.36,-3.49,8.29,-6.59,-2.51,-3.04,4.4,1.94,3.91,-15.21,5.64,-2.65
Drinking Weed,EUW,GOLD,I,N/A,20,24,TOP,24,50.0,-1.32,-1.93,-7.19,-1.48,-4.68,-1.69,2.44,0.63,3.3,-2.06,-20.16,0.47,-6.93,-10.84,2.21,-4.13,9.2
Made in Mallorca,EUW,GOLD,I,N/A,33,26,TOP,29,58.62,3.11,3.95,-3.3,-0.71,-2.25,0.56,3.36,-0.04,0.47,7.69,2.42,7.19,6.44,-4.33,-3.83,-0.72,-11.56
Wen Ti Hen Xiao,EUW,GOLD,I,N/A,58,67,JUNGLE,22,36.36,-3.97,11.67,-2.5,-1.98,0.07,-4.46,-4.99,0.03,-5.82,-3.21,-11.27,-5.5,-1.14,32.57,-1.46,1.22,7.31
JP8  Colbi,EUW,PLATINUM,I,N/A,73,60,UTILITY,20,60.0,0.18,12.13,0.38,-2.12,1.16,-0.45,-4.75,-0.2,-2.64,-1.32,0.05,-20.74,2.72,33.63,-9.58,6.62,17.55
Kaiiicoo,EUW,EMERALD,III,N/A,80,65,MIDDLE,21,66.67,-0.76,-1.13,-3.16,-3.01,-2.77,-8.29,2.31,-1.34,-6.55,-6.56,-6.91,-4.76,6.03,7.39,11.56,5.52,1.27
KATAEE,EUW,PLATINUM,I,N/A,26,18,MIDDLE,13,61.54,-2.8,-14.01,3.3,3.59,5.51,-0.84,-7.69,3.84,3.77,3.98,3.74,-7.69,-1.03,-15.0,0.0,1.37,7.64
Sakurajima Mai,PURE,PLATINUM,I,N/A,15,5,BOTTOM,26,73.08,7.16,0.97,-3.76,-0.68,2.84,-4.89,-1.33,1.71,-1.2,-1.83,-0.16,-4.07,-2.1,-8.1,0.0,-0.46,2.59
Brello,bello,EMERALD,IV,N/A,281,254,UTILITY,16,56.25,-2.18,-13.72,0.38,-0.08,-1.71,-2.91,6.08,3.42,2.59,-0.25,3.66,2.96,1.17,-32.6,-17.0,-5.71,-22.19
Its a sword,EUW,PLATINUM,I,N/A,3,3,JUNGLE,25,56.0,-9.39,-6.3,7.91,4.54,1.8,9.9,-4.7,12.95,-0.43,9.44,18.14,-5.77,-3.83,-12.32,-6.45,-5.82,7.14
卡莎的屁股,GANK,PLATINUM,I,N/A,68,59,MIDDLE,18,55.56,0.39,-0.62,-10.58,-1.91,-3.78,14.42,31.23,-10.66,-5.47,-0.67,-6.62,-0.57,0.5,16.47,39.59,7.28,-18.98
Dobre SEEEEEEEEM,DOBRE,PLATINUM,I,N/A,12,8,UTILITY,30,56.67,-0.13,-10.18,6.92,-2.32,3.81,0.81,-9.3,-0.74,-4.08,-3.87,5.64,-36.0,0.16,18.6,-7.69,0.99,1.5
Zwiebelmett405,EUW,PLATINUM,I,N/A,18,19,TOP,30,46.67,-6.37,-1.25,-5.92,-3.03,-4.59,-0.11,-2.41,-6.86,-7.11,-0.27,-12.81,3.43,-0.88,0.7,-3.84,1.68,-4.0
Bisasam,Bisa1,PLATINUM,I,N/A,184,194,TOP,22,50.0,-1.08,-1.78,4.47,-2.05,-1.26,-9.84,-6.57,8.08,-0.3,-0.28,22.44,-4.55,-5.99,-10.71,-3.33,1.7,-4.8
gàyfromUkraine,l2p,EMERALD,II,N/A,368,361,UTILITY,28,39.29,-1.15,0.58,4.85,-2.24,-1.88,4.45,20.95,2.56,-4.72,-0.66,-0.45,32.35,-0.09,11.98,8.26,-0.05,-13.47
BSL,yep,EMERALD,I,N/A,83,92,UTILITY,21,38.1,-3.46,14.9,3.36,1.49,-6.77,-5.62,7.58,-4.92,7.02,1.8,9.55,4.82,-0.06,7.52,-2.49,7.49,12.49
Ayudaestoyciego,EUW,EMERALD,I,N/A,13,14,UTILITY,30,43.33,-1.75,-10.21,4.26,-1.96,0.48,0.71,17.57,2.09,-0.04,-3.83,3.81,-4.69,-2.32,4.03,17.42,-0.28,3.78
jkillz03,EUW,EMERALD,I,N/A,65,72,JUNGLE,13,46.15,4.61,0.89,4.19,-3.81,1.03,7.14,-0.39,-0.33,-0.49,-1.27,12.28,-1.05,9.01,2.4,0.0,-5.84,-12.86
Gunok on bush,EUW,EMERALD,I,N/A,20,11,TOP,30,63.33,-0.49,1.39,3.4,-2.93,4.02,-12.61,-9.72,8.68,-4.14,2.97,-0.91,-9.27,6.76,2.67,-5.2,-0.29,-0.97
alexmaldi16,EUW,EMERALD,I,N/A,3,4,UTILITY,21,42.86,3.22,-3.14,-4.89,2.42,3.32,-5.92,2.35,-4.9,-4.92,0.13,-11.09,23.67,0.6,-9.0,-6.84,-12.59,4.6
Schmebulock,INT,EMERALD,I,N/A,15,13,TOP,26,53.85,-7.7,-5.23,6.92,-0.44,3.02,4.92,-5.34,7.16,0.54,-9.3,9.16,-5.78,-2.12,-7.82,0.0,-0.04,-14.97
IWontSwearAgain,EUW,DIAMOND,IV,N/A,14,16,TOP,28,42.86,18.12,1.33,-2.22,2.38,3.92,-7.87,-3.08,6.23,2.06,14.66,1.6,-0.39,9.52,-5.53,-4.39,-2.01,-2.53
SboubiDams,EUW,EMERALD,I,N/A,25,26,MIDDLE,19,52.63,-1.36,4.48,5.92,-1.77,3.06,19.4,-7.54,-7.55,-5.1,-2.95,4.81,0.0,0.07,8.28,-9.02,5.19,5.7
Shaktaila,Aila,EMERALD,I,N/A,83,73,MIDDLE,27,51.85,6.52,2.82,1.27,-0.68,-3.57,1.23,-3.37,0.53,-2.68,-0.46,-0.73,-1.74,-3.6,5.16,-4.39,1.33,1.48
Kappafungus,侘 寂,MASTER,I,N/A,41,39,MIDDLE,28,50.0,2.47,4.3,12.51,-1.98,4.8,15.53,1.91,6.18,-1.01,1.08,7.82,3.55,0.12,20.73,-0.26,2.99,-3.57
Random kdaplyers,EUW00,DIAMOND,I,N/A,616,634,MIDDLE,18,22.22,15.76,-6.18,-1.19,1.41,-0.77,2.67,0.33,-13.71,0.18,1.2,4.03,0.0,-2.52,-7.85,-0.97,-1.2,-1.53
Nεigε,EUW,MASTER,I,N/A,199,222,JUNGLE,24,45.83,-0.23,11.07,3.46,-3.23,0.93,-2.24,4.8,2.62,-5.79,-2.48,1.58,-1.42,10.82,-20.21,9.6,-0.41,-3.75
UDO PredatorLU,7070,DIAMOND,I,N/A,99,92,BOTTOM,26,34.62,6.25,7.63,3.85,2.53,-3.79,-2.79,3.48,-5.1,2.06,0.16,2.84,3.17,-4.08,21.7,4.7,3.61,-0.64
Schelinan,EUW,DIAMOND,II,N/A,244,258,UTILITY,18,50.0,-4.12,6.93,2.62,1.28,-1.85,-0.47,26.29,-4.92,3.29,3.5,4.82,26.34,6.73,1.4,6.8,5.5,28.06
pz1,001,DIAMOND,I,N/A,29,34,MIDDLE,27,55.56,1.54,6.74,4.02,-1.13,-0.68,-8.58,-5.93,-4.71,6.08,1.9,4.11,-3.7,10.47,-9.43,-5.51,-5.53,10.92
MG Adenn,0000,DIAMOND,I,N/A,95,97,JUNGLE,26,42.31,-2.73,-4.42,-1.11,0.71,-4.55,-12.59,-5.67,-2.33,3.92,-2.35,26.1,-5.66,-16.25,-16.33,-3.0,-4.03,22.42
Kayle,gnk,DIAMOND,I,N/A,129,142,UTILITY,13,30.77,-0.75,0.74,-4.06,1.65,-3.25,-1.58,14.88,-16.71,1.57,-0.88,-8.22,16.48,-2.59,-58.55,20.69,-15.52,-21.28
LightseekerQ,EUW,MASTER,I,N/A,81,72,MIDDLE,20,45.0,4.39,6.97,-9.88,0.96,1.67,-2.29,-10.72,0.51,-0.1,-6.82,-14.89,-2.44,-3.07,11.94,-11.6,2.7,-0.14
Svelander v2,EUW,DIAMOND,I,N/A,47,28,BOTTOM,24,75.0,1.42,3.98,-5.55,-0.84,0.67,-3.42,0.0,10.27,-2.23,4.02,-0.92,0.0,7.98,11.89,0.0,5.91,7.05
Rambel,EUW,GOLD,III,N/A,88,99,UTILITY,22,50.0,-3.57,7.38,4.89,1.98,-3.7,1.08,13.83,2.61,6.5,1.95,7.62,19.2,-4.77,25.04,5.53,9.33,16.67
Unna78,EUW,PLATINUM,IV,N/A,132,138,UTILITY,28,53.57,3.1,3.53,4.52,-2.97,-1.85,3.21,27.72,2.49,-2.76,1.26,2.9,49.69,0.21,-1.59,24.56,-2.8,5.42
